InvoiceDate,Sales,Year,Month,Day,DayOfWeek,WeekOfYear,Lag_1,Lag_7,Rolling_7
2011-06-12,12441.94,2011,6,12,6,23,0.0,25423.760000000002,31405.25142857143
2011-06-13,22434.76,2011,6,13,0,24,12441.94,17767.12,32072.05714285714
2011-06-14,40447.53,2011,6,14,1,24,22434.76,37857.31,32442.088571428565
2011-06-15,48974.63,2011,6,15,2,24,40447.53,43194.43,33267.83142857142
2011-06-16,34529.01,2011,6,16,3,24,48974.63,46341.52,31580.329999999998
2011-06-17,21070.47,2011,6,17,4,24,34529.01,62234.439999999995,25699.762857142858
2011-06-18,0.0,2011,6,18,5,24,21070.47,0.0,25699.762857142858
2011-06-19,22421.48,2011,6,19,6,24,0.0,12441.94,27125.411428571424
2011-06-20,37489.24,2011,6,20,0,25,22421.48,22434.76,29276.051428571427
2011-06-21,24752.87,2011,6,21,1,25,37489.24,40447.53,27033.957142857143
2011-06-22,21799.32,2011,6,22,2,25,24752.87,48974.63,23151.769999999997
2011-06-23,25155.63,2011,6,23,3,25,21799.32,34529.01,21812.71571428571
2011-06-24,19516.29,2011,6,24,4,25,25155.63,21070.47,21590.69
2011-06-25,0.0,2011,6,25,5,25,19516.29,0.0,21590.69
2011-06-26,7032.36,2011,6,26,6,25,0.0,22421.48,19392.244285714285
2011-06-27,16985.31,2011,6,27,0,26,7032.36,37489.24,16463.11142857143
2011-06-28,35545.83,2011,6,28,1,26,16985.31,24752.87,18004.96285714286
2011-06-29,22087.47,2011,6,29,2,26,35545.83,21799.32,18046.12714285714
2011-06-30,44763.51,2011,6,30,3,26,22087.47,25155.63,20847.25285714286
2011-07-01,13632.210000000001,2011,7,1,4,26,44763.51,19516.29,20006.670000000002
2011-07-02,0.0,2011,7,2,5,26,13632.210000000001,0.0,20006.670000000002
2011-07-03,5972.7300000000005,2011,7,3,6,26,0.0,7032.36,19855.294285714288
2011-07-04,44609.03,2011,7,4,0,27,5972.7300000000005,16985.31,23801.54
2011-07-05,40754.68,2011,7,5,1,27,44609.03,35545.83,24545.661428571428
2011-07-06,26361.28,2011,7,6,2,27,40754.68,22087.47,25156.205714285716
2011-07-07,32412.43,2011,7,7,3,27,26361.28,44763.51,23391.765714285713
2011-07-08,27057.35,2011,7,8,4,27,32412.43,13632.210000000001,25309.64285714286
2011-07-09,0.0,2011,7,9,5,27,27057.35,0.0,25309.64285714286
2011-07-10,5959.54,2011,7,10,6,27,0.0,5972.7300000000005,25307.75857142857
2011-07-11,22529.66,2011,7,11,0,28,5959.54,44609.03,22153.562857142857
2011-07-12,26252.85,2011,7,12,1,28,22529.66,40754.68,20081.872857142855
2011-07-13,22620.61,2011,7,13,2,28,26252.85,26361.28,19547.49142857143
2011-07-14,33560.26,2011,7,14,3,28,22620.61,32412.43,19711.467142857146
2011-07-15,14793.83,2011,7,15,4,28,33560.26,27057.35,17959.535714285714
2011-07-16,0.0,2011,7,16,5,28,14793.83,0.0,17959.535714285714
2011-07-17,17154.26,2011,7,17,6,28,0.0,5959.54,19558.78142857143
2011-07-18,38814.88,2011,7,18,0,29,17154.26,22529.66,21885.24142857143
2011-07-19,50166.76,2011,7,19,1,29,38814.88,26252.85,25301.514285714282
2011-07-20,33252.33,2011,7,20,2,29,50166.76,22620.61,26820.33142857143
2011-07-21,32695.77,2011,7,21,3,29,33252.33,33560.26,26696.832857142854
2011-07-22,20119.97,2011,7,22,4,29,32695.77,14793.83,27457.71
2011-07-23,0.0,2011,7,23,5,29,20119.97,0.0,27457.71
2011-07-24,27080.46,2011,7,24,6,29,0.0,17154.26,28875.738571428574
2011-07-25,26876.39,2011,7,25,0,30,27080.46,38814.88,27170.239999999998
2011-07-26,21635.561,2011,7,26,1,30,26876.39,50166.76,23094.354428571427
2011-07-27,25593.74,2011,7,27,2,30,21635.561,33252.33,22000.27014285714
2011-07-28,56243.32,2011,7,28,3,30,25593.74,32695.77,25364.205857142857
2011-07-29,18716.54,2011,7,29,4,30,56243.32,20119.97,25163.715857142855
2011-07-30,0.0,2011,7,30,5,30,18716.54,0.0,25163.715857142855
2011-07-31,33209.68,2011,7,31,6,30,0.0,27080.46,26039.318714285713
2011-08-01,21358.64,2011,8,1,0,31,33209.68,26876.39,25251.068714285713
2011-08-02,26575.55,2011,8,2,1,31,21358.64,21635.561,25956.78142857143
2011-08-03,28068.2,2011,8,3,2,31,26575.55,25593.74,26310.27571428571
2011-08-04,65496.79,2011,8,4,3,31,28068.2,56243.32,27632.200000000004
2011-08-05,21417.13,2011,8,5,4,31,65496.79,18716.54,28017.99857142857
2011-08-06,0.0,2011,8,6,5,31,21417.13,0.0,28017.99857142857
2011-08-07,7543.86,2011,8,7,6,31,0.0,33209.68,24351.45285714286
2011-08-08,23363.01,2011,8,8,0,32,7543.86,21358.64,24637.791428571425
2011-08-09,27672.24,2011,8,9,1,32,23363.01,26575.55,24794.46142857143
2011-08-10,28780.05,2011,8,10,2,32,27672.24,28068.2,24896.154285714285
2011-08-11,72372.89,2011,8,11,3,32,28780.05,65496.79,25878.454285714284
2011-08-12,32231.35,2011,8,12,4,32,72372.89,21417.13,27423.342857142856
2011-08-13,0.0,2011,8,13,5,32,32231.35,0.0,27423.342857142856
2011-08-14,5701.87,2011,8,14,6,32,0.0,7543.86,27160.20142857143
2011-08-15,17235.95,2011,8,15,0,33,5701.87,23363.01,26284.907142857144
2011-08-16,19234.53,2011,8,16,1,33,17235.95,27672.24,25079.52
2011-08-17,53284.76,2011,8,17,2,33,19234.53,28780.05,28580.192857142858
2011-08-18,54059.1,2011,8,18,3,33,53284.76,72372.89,25963.937142857143
2011-08-19,17336.07,2011,8,19,4,33,54059.1,32231.35,23836.04
2011-08-20,0.0,2011,8,20,5,33,17336.07,0.0,23836.04
2011-08-21,14420.27,2011,8,21,6,33,0.0,5701.87,25081.52571428572
2011-08-22,29645.54,2011,8,22,0,34,14420.27,17235.95,26854.324285714287
2011-08-23,25978.59,2011,8,23,1,34,29645.54,19234.53,27817.76142857143
2011-08-24,48789.72,2011,8,24,2,34,25978.59,53284.76,27175.612857142864
2011-08-25,23773.43,2011,8,25,3,34,48789.72,54059.1,22849.088571428576
2011-08-26,25610.29,2011,8,26,4,34,23773.43,17336.07,24031.120000000003
2011-08-27,0.0,2011,8,27,5,34,25610.29,0.0,24031.120000000003
2011-08-28,10686.56,2011,8,28,6,34,0.0,14420.27,23497.732857142862
2011-08-29,0.0,2011,8,29,0,35,10686.56,29645.54,19262.655714285716
2011-08-30,31837.77,2011,8,30,1,35,0.0,25978.59,20099.68142857143
2011-08-31,25367.22,2011,8,31,2,35,31837.77,48789.72,16753.610000000004
2011-09-01,37358.62,2011,9,1,3,35,25367.22,23773.43,18694.35142857143
2011-09-02,42226.28,2011,9,2,4,35,37358.62,25610.29,21068.06428571429
2011-09-03,0.0,2011,9,3,5,35,42226.28,0.0,21068.06428571429
2011-09-04,17040.74,2011,9,4,6,35,0.0,10686.56,21975.80428571429
2011-09-05,36898.35,2011,9,5,0,36,17040.74,0.0,27246.997142857148
2011-09-06,28321.06,2011,9,6,1,36,36898.35,31837.77,26744.610000000004
2011-09-07,34413.53,2011,9,7,2,36,28321.06,25367.22,28036.940000000002
2011-09-08,27055.88,2011,9,8,3,36,34413.53,37358.62,26565.12
2011-09-09,30016.33,2011,9,9,4,36,27055.88,42226.28,24820.84142857143
2011-09-10,0.0,2011,9,10,5,36,30016.33,0.0,24820.84142857143
2011-09-11,35206.92,2011,9,11,6,36,0.0,17040.74,27416.010000000002
2011-09-12,29526.29,2011,9,12,0,37,35206.92,36898.35,26362.858571428573
2011-09-13,55071.3,2011,9,13,1,37,29526.29,28321.06,30184.32142857143
2011-09-14,23578.78,2011,9,14,2,37,55071.3,34413.53,28636.500000000004
2011-09-15,78151.97,2011,9,15,3,37,23578.78,27055.88,35935.94142857143
2011-09-16,27720.27,2011,9,16,4,37,78151.97,30016.33,35607.93285714286
2011-09-17,0.0,2011,9,17,5,37,27720.27,0.0,35607.93285714286
2011-09-18,15639.55,2011,9,18,6,37,0.0,35206.92,32812.59428571429
2011-09-19,49250.87,2011,9,19,0,38,15639.55,29526.29,35630.391428571435
2011-09-20,109553.9,2011,9,20,1,38,49250.87,55071.3,43413.62
2011-09-21,48529.72,2011,9,21,2,38,109553.9,23578.78,46978.04
2011-09-22,59220.41,2011,9,22,3,38,48529.72,78151.97,44273.531428571434
2011-09-23,40574.4,2011,9,23,4,38,59220.41,27720.27,46109.83571428572
2011-09-24,0.0,2011,9,24,5,38,40574.4,0.0,46109.83571428572
2011-09-25,31164.781,2011,9,25,6,38,0.0,15639.55,48327.72585714286
2011-09-26,29270.841,2011,9,26,0,39,31164.781,49250.87,45473.436
2011-09-27,36260.91,2011,9,27,1,39,29270.841,109553.9,35003.008857142864
2011-09-28,43693.08,2011,9,28,2,39,36260.91,48529.72,34312.06028571429
2011-09-29,46343.35,2011,9,29,3,39,43693.08,59220.41,32472.48028571429
2011-09-30,44347.06,2011,9,30,4,39,46343.35,40574.4,33011.43171428572
2011-10-01,0.0,2011,10,1,5,39,44347.06,0.0,33011.43171428572
2011-10-02,11531.56,2011,10,2,6,39,0.0,31164.781,30206.685857142857
2011-10-03,66243.94,2011,10,3,0,40,11531.56,29270.841,35488.55714285715
2011-10-04,48652.54,2011,10,4,1,40,66243.94,36260.91,37258.79
2011-10-05,75460.77,2011,10,5,2,40,48652.54,43693.08,41797.031428571434
2011-10-06,62761.92,2011,10,6,3,40,75460.77,46343.35,44142.541428571436
2011-10-07,53692.5,2011,10,7,4,40,62761.92,44347.06,45477.60428571429
2011-10-08,0.0,2011,10,8,5,40,53692.5,0.0,45477.60428571429
2011-10-09,12273.1,2011,10,9,6,40,0.0,11531.56,45583.53857142858
2011-10-10,48121.66,2011,10,10,0,41,12273.1,66243.94,42994.641428571435
2011-10-11,52537.31,2011,10,11,1,41,48121.66,48652.54,43549.60857142858
2011-10-12,32083.11,2011,10,12,2,41,52537.31,75460.77,37352.8
2011-10-13,37232.47,2011,10,13,3,41,32083.11,62761.92,33705.73571428572
2011-10-14,36294.58,2011,10,14,4,41,37232.47,53692.5,31220.318571428572
2011-10-15,0.0,2011,10,15,5,41,36294.58,0.0,31220.318571428576
2011-10-16,21767.94,2011,10,16,6,41,0.0,12273.1,32576.724285714292
2011-10-17,51925.61,2011,10,17,0,42,21767.94,48121.66,33120.14571428572
2011-10-18,45277.92,2011,10,18,1,42,51925.61,52537.31,32083.090000000004
2011-10-19,42467.72,2011,10,19,2,42,45277.92,32083.11,33566.60571428572
2011-10-20,60969.14,2011,10,20,3,42,42467.72,37232.47,36957.55857142858
2011-10-21,63173.39,2011,10,21,4,42,60969.14,36294.58,40797.38857142858
2011-10-22,0.0,2011,10,22,5,42,63173.39,0.0,40797.38857142858
2011-10-23,12156.57,2011,10,23,6,42,0.0,21767.94,39424.33571428572
2011-10-24,48335.52,2011,10,24,0,43,12156.57,51925.61,38911.46571428572
2011-10-25,41192.55,2011,10,25,1,43,48335.52,45277.92,38327.84142857143
2011-10-26,37729.47,2011,10,26,2,43,41192.55,42467.72,37650.94857142858
2011-10-27,57201.78,2011,10,27,3,43,37729.47,60969.14,37112.75428571429
2011-10-28,40455.26,2011,10,28,4,43,57201.78,63173.39,33867.30714285715
2011-10-29,0.0,2011,10,29,5,43,40455.26,0.0,33867.30714285715
2011-10-30,34397.95,2011,10,30,6,43,0.0,12156.57,37044.647142857146
2011-10-31,57327.45,2011,10,31,0,44,34397.95,48335.52,38329.20857142857
2011-11-01,29091.9,2011,11,1,1,44,57327.45,41192.55,36600.54428571429
2011-11-02,45690.08,2011,11,2,2,44,29091.9,37729.47,37737.774285714295
2011-11-03,63425.47,2011,11,3,3,44,45690.08,57201.78,38626.872857142866
2011-11-04,62594.590000000004,2011,11,4,4,44,63425.47,40455.26,41789.634285714295
2011-11-05,0.0,2011,11,5,5,44,62594.590000000004,0.0,41789.634285714295
2011-11-06,42513.590000000004,2011,11,6,6,44,0.0,34397.95,42949.01142857143
2011-11-07,85705.3,2011,11,7,0,45,42513.590000000004,57327.45,47002.990000000005
2011-11-08,57557.03,2011,11,8,1,45,85705.3,29091.9,51069.437142857154
2011-11-09,65879.97,2011,11,9,2,45,57557.03,45690.08,53953.70714285715
2011-11-10,70868.0,2011,11,10,3,45,65879.97,63425.47,55016.92571428572
2011-11-11,55107.87,2011,11,11,4,45,70868.0,62594.590000000004,53947.39428571429
2011-11-12,0.0,2011,11,12,5,45,55107.87,0.0,53947.39428571429
2011-11-13,33878.15,2011,11,13,6,45,0.0,42513.590000000004,52713.76000000001
2011-11-14,114237.40000000001,2011,11,14,0,46,33878.15,85705.3,56789.774285714295
2011-11-15,60613.8,2011,11,15,1,46,114237.40000000001,57557.03,57226.45571428572
2011-11-16,65672.53,2011,11,16,2,46,60613.8,65879.97,57196.821428571435
2011-11-17,60901.32,2011,11,17,3,46,65672.53,70868.0,55773.01
2011-11-18,51130.39,2011,11,18,4,46,60901.32,55107.87,55204.798571428575
2011-11-19,0.0,2011,11,19,5,46,51130.39,0.0,55204.798571428575
2011-11-20,34509.21,2011,11,20,6,46,0.0,33878.15,55294.950000000004
2011-11-21,49674.6,2011,11,21,0,47,34509.21,114237.40000000001,46071.692857142865
2011-11-22,63863.48,2011,11,22,1,47,49674.6,60613.8,46535.93285714286
2011-11-23,79847.0,2011,11,23,2,47,63863.48,65672.53,48560.857142857145
2011-11-24,50759.21,2011,11,24,3,47,79847.0,60901.32,47111.98428571429
2011-11-25,50690.4,2011,11,25,4,47,50759.21,51130.39,47049.12857142858
2011-11-26,0.0,2011,11,26,5,47,50690.4,0.0,47049.12857142858
2011-11-27,20279.37,2011,11,27,6,47,0.0,34509.21,45016.29428571429
2011-11-28,56965.73,2011,11,28,0,48,20279.37,49674.6,46057.884285714295
2011-11-29,72384.82,2011,11,29,1,48,56965.73,63863.48,47275.21857142857
2011-11-30,60025.57,2011,11,30,2,48,72384.82,79847.0,44443.58571428572
2011-12-01,52068.63,2011,12,1,3,48,60025.57,50759.21,44630.64571428572
2011-12-02,57476.48,2011,12,2,4,48,52068.63,50690.4,45600.08571428572
2011-12-03,0.0,2011,12,3,5,48,57476.48,0.0,45600.08571428572
2011-12-04,24477.47,2011,12,4,6,48,0.0,20279.37,46199.814285714296
2011-12-05,88620.84,2011,12,5,0,49,24477.47,56965.73,50721.972857142864
2011-12-06,56558.83,2011,12,6,1,49,88620.84,72384.82,48461.11714285715
2011-12-07,75315.55,2011,12,7,2,49,56558.83,60025.57,50645.40000000001
2011-12-08,82371.55,2011,12,8,3,49,75315.55,52068.63,54974.38857142858
2011-12-09,200900.97999999998,2011,12,9,4,49,82371.55,57476.48,75463.60285714285
